PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40643914,"Biomarker Testing Approaches, Treatment Selection, and Cost of Care Among Adults With Advanced Cancer.",2025,Bapat B; Reyes C; Chatzitheofilou I; Schroeder BE; Hostin D; Fox J,"Illumina Inc, San Diego, California.",
40643889,Medically tailored meals in lung cancer care: patient experiences from the NutriCare Clinical Trial.,2025,,,
40643874,Does Race/Ethnicity Affect Secondary Bladder and Rectal Cancer Rates After Prostate Cancer Radiation? Results from a Population-Based Study.,2025,,,
40643869,The impact of multimodal high intensity exercise program comparing online and onsite interventions in breast cancer survivors: a randomized controlled trial.,2025,,,
40643868,Accelerating diagnosis and refining referral criteria in head and neck cancer: insights from a multidisciplinary fast-track pathway.,2025,,,
40643867,Recent advances in novel targeting mechanisms for colorectal cancer.,2025,,,
40643861,Exploring the role of PANoptosis related genes in the prognosis of oral squamous cell carcinoma subtypes based on multi-omics analysis.,2025,,,
40643852,A qualitative analysis of head and neck cancer patient's lived experience on their treatment journey in a single Irish institution.,2025,,,
40643833,Nutrition in Oncology: Overcoming Challenges to Optimize the Patient Journey from Prehabilitation to Rehabilitation.,2025,,,
40643811,"Exploring the role of hepsin in prostate cancer: bioinformatics, molecular Docking and molecular dynamics simulations.",2025,,,
40643805,"Variable roles of miRNA- and apoptosis-linked genes in invasive breast cancer: expression patterns, clinicopathological associations, and prognostic significance.",2025,,,
40643795,Generation of NOD SCID mice with near-complete deletions of Il2rg and Prkdc for human cancer and HSC engraftment.,2025,Lee JH; Nam TW; Park MY; Park SH; Lee HW,"GEMCRO, Inc., Seoul, 03722, Republic of Korea.; GEMCRO, Inc., Seoul, 03722, Republic of Korea. hwl@yonsei.ac.kr.",hwl@yonsei.ac.kr.
40643786,Potential role of terpenes in recovery from olfactory dysfunction with olfactory training: a review.,2025,,,
40643775,A direct comparison of classical oral Navelbine vs metronomic Navelbine in metastatic breast cancer: results from the Danish Breast Cancer Group's (DBCG) NAME-trial.,2025,,,
40643769,Application of Pirfenidone-loaded Fluorescence Nanoparticles to Inhibit Hepatocellular Carcinoma by Modulating Oxidative Stress.,2025,,,
40643758,Integration of scRNA-seq and bulk tissue RNA-seq data to identify cancer-associated fibroblast-related gene RGMA as a potential treatment target for esophageal cancer.,2025,,,
40643742,The role of radiotheranostics in personalized treatment for breast cancer.,2025,,,
40643740,Comparative outcomes of multi-port versus single-port robotic-assisted partial nephrectomy with same-day discharge: impact of surgical approach.,2025,,,
40643738,Anatolian propolis extracts enhance cisplatin efficacy in ovarian cancer through AKT/mTOR pathway modulation and demonstrate antibacterial and antibiofilm activities.,2025,,,
40643729,Glucocorticoid use in paediatric posterior fossa tumour surgery and the occurrence of postoperative speech impairment.,2025,Hoving E; van Baarsen K,"Princess Máxima Center for Pediatric Oncology, Heidelberglaan 25, 3584 CS, Utrecht, The Netherlands.",
40643716,USP6NL knockdown suppresses colorectal cancer progression by inducing CASP9-Mediated apoptosis and disrupting FOXC2/SNAI1-Driven EMT and angiogenesis.,2025,,,
40643715,SPDL1 overexpression was associated with poor prognosis and immune status in HCC through in vitro experiment and bioinformatics analysis.,2025,,,
40643687,"MRI-based, three-dimensionally assessed tumor burden and growth velocity to predict visual acuity deterioration in optic pathway glioma - results of a retrospective longitudinal analysis.",2025,,,
40643669,Evaluation of the pharmacokinetics of enasidenib in patients with hepatic impairment.,2025,Cheng Y; Chen J; Li Y; Li Y,"Clinical Pharmacology, Pharmacometrics & Bioanalysis, Bristol Myers Squibb, Princeton, NJ, USA. Yan.Li@bms.com.; Clinical Pharmacology, Pharmacometrics & Bioanalysis, Bristol Myers Squibb 556 Morris Ave, Summit, NJ, 07901, USA. Yan.Li@bms.com.; Clinical Pharmacology, Pharmacometrics & Bioanalysis, Bristol Myers Squibb, Princeton, NJ, USA.",Yan.Li@bms.com.
40643660,[CAR T-cell therapy of mature B-cell neoplasms-Current use and practical considerations].,2025,,,
40643658,[Management of side effects of CAR T cells].,2025,,,
40643654,Diffusion-weighted imaging in rectal cancer MRI from theory to practice.,2025,,,
40643648,LncRNA-Histone Modification Crosstalk: Orchestrating Cancer Pathobiology.,2025,,,
40643609,Earlier is not always better: Optimal time to initiate adjuvant chemotherapy after surgery for ovarian cancer.,2025,,,
40643596,Immunomodulatory impacts of thermal and pulsed field ablation therapy on hepatocellular carcinoma associated with viral hepatitis.,2025,,,
40643584,Microbiota shape metabolic and immune determinants of CAR-T therapy and correlate with outcomes in myeloma.,2025,Val-Casals M; Klein-González N,"Hospital Clínic de Barcelona, Institut d'Investigacions Biomèdiques August Pi i Sunyer, Gyala Therapeutics S.L., Barcelona, Barcelona, Spain.",
40643576,Racial Disparities in Pathologic Complete Response and Survival after Neoadjuvant Chemotherapy for Breast Cancer.,2025,,,
40643563,Reimbursement of Lung Cancer in Turkey: A 10-Year Single Center Study.,2025,,,
40643557,Expression of Aldehyde Dehydrogenase 1A1 in Relapse-Associated Cells in Acute Myeloid Leukemia.,2025,,,
40643554,Dissecting the Immunological Microenvironment of Glioma Based on IDH Status: Implications for Immunotherapy.,2025,,,
40643553,Role of Kindlin-2-Expressing Extracellular Vesicles in the Invasiveness of Triple Negative Breast Cancer Tumor Cells.,2025,,,
40643543,Hyperalgesia in the Psychological Stress-Induced Fibromyalgia Model Shows Sexual Dimorphism Mediated by LPA,2025,,,
40643531,Ciprofloxacin Exerts Anti-Tumor Effects In Vivo Through cGAS-STING Activation and Modulates Tumor Microenvironment.,2025,,,
40643516,Immunotherapy for Platinum-Resistant Ovarian Cancer as a Glimmer of Hope.,2025,,,
40643514,The Cholesterol Biosynthesis Pathway Plays an Important Role in Chemotherapeutic Drug Response and Metastasis in High-Grade Osteosarcoma.,2025,,,
40643506,Local T-Cell Dysregulation and Immune Checkpoint Expression in Human Papillomavirus-Mediated Recurrent Respiratory Papillomatosis.,2025,,,
40643500,Modulation of Heat Shock Proteins Levels in Health and Disease: An Integrated Perspective in Diagnostics and Therapy.,2025,,,
40643499,Effects of Mesenchymal Stem Cells on Functions of Chimeric Antigen Receptor-Expressing T Lymphocytes and Natural Killer Cells.,2025,,,
40643496,COP1 Deficiency in BRAF,2025,,,
40643493,Modulation of Neurexins Alternative Splicing by Cannabinoid Receptors 1 (CB1) Signaling.,2025,,,
40643492,Perioperative Management of Non-Small Cell Lung Cancer in the Era of Immunotherapy.,2025,,,
40643471,Application of N-NOSE for Evaluating the Response to Neoadjuvant Chemotherapy in Breast Cancer Patients.,2025,Hatakeyama H; Hirotsu T; di Luccio E,"Hirotsu Bio Science Inc., 22F The New Otani Garden Court, 4-1 Kioicho Chiyoda-ku, Tokyo 102-0094, Japan.",
40643470,"SOX2 Regulates Growth, Expression of Basal/Luminal Markers, and Chemotherapy Response in Urothelial Carcinoma.",2025,,,
40643466,Novel In Vitro Selection of ,2025,,,
40643456,[The effect of PSMA PET/CT performed in primary staging on the clinical decision].,2025,,,
40643455,[Complex therapy for non-melanotic skin cancers in the head and neck region].,2025,,,
40643454,[Non-surgical rehabilitation of patients with head and neck cancer].,2025,,,
40643453,[econstruction after large temporal skin tumor resection with the forgotten free flap. Case report].,2025,,,
40643452,[Recent advances in the systemic treatment of head and neck cancers].,2025,,,
40643451,New Perspectives and State of the Art in Interventional Radiotherapy (Brachytherapy) for Head and Neck Tumors.,2025,Rosa E; Fionda B; Placidi E; Lancellotta V; De Angeli M; Pastore F; Massaccesi M; Bannoni L,"Fondazione Policlinico Universitario A. Gemelli IRCCS, Rome, Italy. enrico.rosa@guest.policlinicogemelli.it.",enrico.rosa@guest.policlinicogemelli.it.
40643450,[New developments in the radiotherapy for head and neck cancer].,2025,,,
40643449,"[Overall survival, organ preservation, function preservation: the role of surgery in the treatment of laryngeal cancer].",2025,,,
