PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40621046,Dissolving Microneedle Transdermal Patch Loaded with Nanoliposomes of for the Management of Type II Diabetes.,2025,Imran M,"R&D Scientist, Aimil Pharmaceuticals, New Delhi 110028, India.",
40620843,Impact of Albuminuria and Renal Dysfunction on the Anemia-Improving Effect of SGLT2 Inhibitors in Patients With Type 2 Diabetes: A Real-World Observational Study.,2025,,,
40620797,Relationship between dietary acid-base load and non-insulin-based resistance measures in patients with chronic kidney disease.,2025,,,
40620795,The effects of vildagliptin on glycemic variability in patients with type 2 diabetes on premixed insulin therapy.,2025,,,
40620743,Pioglitazone with SGLT2 inhibitors or GLP-1 receptor agonists in patients with type 2 diabetes and non-alcoholic fatty liver disease: could the combinations of an old friend with new players yield better outcomes?,2025,,,
40620497,New drug therapies for metabolic dysfunction-associated steatohepatitis.,2025,,,
40620275,Retrospective Analysis of Factors Associated with a Prolonged Nucleic Acid Conversion Time in Patients with COVID-19 at Fangcang Shelter Hospital.,2025,,,
40620195,Low long-term persistence with GLP-1 receptor agonists treatment: Real-world evidence from a large Polish cohort.,2025,,,
40620033,Hypotaurine Reduces Glucose-Mediated Vascular Calcification.,2025,,,
40619961,[New insights into the role of testosterone in improving glucose and lipid metabolism in adult males].,2025,,,
40619592,Utilization of Proteomic Measures for Early Detection of Drug Benefits and Adverse Effects.,2025,,,
40619549,Symptomatic vulvovaginal candidiasis and antifungal resistance in HIV-1 positive women at Mbarara city health centre IV.,2025,,,
40619508,Efficacy and safety of GLP-1 agonists in the treatment of T2DM: A systematic review and network meta-analysis.,2025,,,
40619476,Annexin-A1 deficiency uncovers female-specific pathways in blood pressure control and cardiovascular remodeling in mice.,2025,,,
40619446,"Bacterial profile and antimicrobial susceptibility pattern of urinary tract infection among diabetic patients at Bule Hora University Teaching Hospital, Southern Ethiopia.",2025,,,
40619352,Liraglutide use in pediatric type 2 familial partial lipodystrophy caused by LMNA mutation: a case report.,2025,,,
40619316,Machine learning models for predicting chemotherapy-induced adverse drug reactions in colorectal cancer patients.,2025,,,
40619203,Lupus nephritis in Mexican patients: Response to intensive therapy.,2025,Aguilera Barragán-Pickens G; Herrera van-Oostdam D; Irazoque-Palazuelos F; Saavedra-Salinas M; Cerpa-Cruz S; Mendoza-Pinto C; Valdez L; Cuevas Orta E; Santillán-Guerrero E; Abud-Mendoza C,"Hospital Central ""Dr. Ignacio Morones Prieto"", San Luis Potosi, Mexico.; Hospital de Especialidades ""Centro Médico La Raza"", Mexico.; Hospital de Especialidades ""20 de Noviembre"" ISSSTE, Mexico.; Hospital Regional No 36 Puebla, Mexico.; Hospital Central ""Dr. Ignacio Morones Prieto"" y Facultad de Medicina de la Universidad Autónoma de San Luis Potosí, Mexico. Electronic address: c_abud@hotmail.com.; Hospital Central ""Dr. Ignacio Morones Prieto"" y Facultad de Medicina de la Universidad Autónoma de San Luis Potosí, Mexico.; Instituto Nacional de Ciencias Médicas y Nutrición ""Salvador Zubirán, Mexico.; Hospital Civil de Guadalajara ""Fray Federico Alcalde"", Mexico.; Hospital Central ""Dr. Ignacio Morones Prieto"" e Instituto Mexicano del Seguro Social, San Luis Potosí, Mexico.",c_abud@hotmail.com.
40618921,AEBP1 as a promising therapeutic target for skeletal muscle insulin resistance in type 2 diabetes mellitus: Convergent evidence from Mendelian randomization and functional validation.,2025,,,
40618327,Phalaenopsis orchid flower extract attenuates high glucose-induced senescence via Nrf2/HO-1 activation and promotes wound healing in human dermal fibroblasts.,2025,,,
40617906,Ursodeoxycholic acid alleviates aortic aneurysm and dissection through the intestinal farnesoid X receptor/ceramide synthase 2 axis.,2025,Zhang Z; Xie L; Lin X; He J; Xie Y; Zhuang X; Tang L; Wu Q; Qiu Z; Chen L,"Fujian Provincial Center for Cardiovascular Medicine, Fuzhou, Fujian, China.; Fujian Provincial Center for Cardiovascular Medicine, Fuzhou, Fujian, China. chenliangwan@fjmu.edu.cn.; Fujian Provincial Center for Cardiovascular Medicine, Fuzhou, Fujian, China. wqs9005@163.com.; Fujian Provincial Center for Cardiovascular Medicine, Fuzhou, Fujian, China. qzhflm@126.com.",wqs9005@163.com.; chenliangwan@fjmu.edu.cn.; qzhflm@126.com.
40617658,Reflections on the Lancet Commission on Investing in Health's Global Health 2050 report.,2025,,,
40617561,"Natural iridoid glycosides, a treasure for drug candidates against type 2 diabetes mellitus pathogenesis.",2025,,,
40617431,Multifunctional fibrous membranes based on poly(ε-caprolactone)/ methacrylamide chitosan loaded with VEGF-mimetic peptide for promoting diabetic wound healing.,2025,,,
40617392,Adverse Drug Reaction-Related Hospital Admissions in Older Adults with Diabetes: Incidence and Implicated Drug Classes.,2025,,,
40617384,Novel mechanisms of metformin-induced vasorelaxation of mesenteric arterioles via endothelium-dependent hyperpolarization to treat murine colitis.,2025,,,
40617324,CARDIAC AND VASCULAR TOXICITY OF AMIVANTAMAB IN NON-SMALL CELL LUNG CANCER (NSCLC): A SYSTEMATIC REVIEW.,2025,,,
40617296,Glucagon-Like Peptide-1 (GLP-1) receptor agonists in rheumatology: A review of current evidence and future directions.,2025,,,
40617246,Absolute neutrophil count and adverse drug reaction monitoring during clozapine treatment: consensus guidelines from a global Delphi panel.,2025,,,
40617160,"Psychiatric and psychological adverse effects associated with dulaglutide, semaglutide, and liraglutide: A vigibase study.",2025,,,
40617142,Polymeric porous microneedle-mediated transdermal metformin delivery system: A high-dose sustained-release platform for enhanced glycemic regulation.,2025,,,
40616487,Effects of Oral Vitamin D Supplementation on Vitamin D Levels and Glycemic Parameters in Patients with Type 2 Diabetes Mellitus: A Systematic Review and Network Meta-Analysis.,2025,,,
40616459,Neuroprotective Effects of SELFormer-Selected β-Citronellol and β-Caryophyllene in Vagotomized Ischemic Stroke Model Through Direct Brain Protection and Gut Microbiota Modulation.,2025,,,
40616222,Considerations With Using a CGM in Older Individuals.,2025,,,
40616164,Unraveling the oxidative stress landscape in diabetic foot ulcers: insights from bulk RNA and single-cell RNA sequencing data.,2025,,,
40615876,Timely diagnosis of emphysematous pyelitis by point-of-care ultrasound in an outpatient setting prevented infection spread: a case report and review of the literature.,2025,,,
40615622,Bidirectional Mendelian randomization analysis of the causal associations between serum vitamin D levels and multiple kidney diseases.,2025,,,
40615325,Comorbidity Burden and Effectiveness of Immunotherapy in Metastatic Renal Cell Carcinoma.,2025,,,
40614798,A disproportionality analysis of diabetes mellitus in patients treated with biologics for asthma and related conditions using FAERS data.,2025,,,
40614754,Polydopamine-modified Collagen Membrane Loading with Platelet-rich Plasma for Enhancing Diabetic Wound Healing.,2025,,,
